                          table_name                          | table_size | indexes_size | total_size 
--------------------------------------------------------------+------------+--------------+------------
 "public"."refs_blob"                                         | 77 GB      | 2638 MB      | 80 GB
 "public"."release_rev"                                       | 44 GB      | 28 GB        | 72 GB
 "public"."release_contrib"                                   | 32 GB      | 30 GB        | 62 GB
 "public"."release_edit"                                      | 11 GB      | 18 GB        | 30 GB
 "public"."work_edit"                                         | 11 GB      | 18 GB        | 29 GB
 "public"."release_ident"                                     | 7768 MB    | 14 GB        | 22 GB
 "public"."work_ident"                                        | 7572 MB    | 14 GB        | 21 GB
 "public"."abstracts"                                         | 10 GB      | 904 MB       | 11 GB
 "public"."file_rev_url"                                      | 7967 MB    | 3267 MB      | 11 GB
 "public"."work_rev"                                          | 4908 MB    | 5821 MB      | 10 GB
 "public"."release_ref"                                       | 3950 MB    | 5626 MB      | 9577 MB
 "public"."file_rev"                                          | 2481 MB    | 4128 MB      | 6609 MB
 "public"."file_edit"                                         | 2003 MB    | 2790 MB      | 4793 MB
 "public"."file_rev_release"                                  | 1245 MB    | 2385 MB      | 3629 MB
 "public"."file_ident"                                        | 1343 MB    | 2208 MB      | 3551 MB
 "public"."release_rev_abstract"                              | 1204 MB    | 1628 MB      | 2832 MB
 "public"."editgroup"                                         | 591 MB     | 345 MB       | 936 MB
 "public"."creator_edit"                                      | 377 MB     | 420 MB       | 797 MB
 "public"."creator_rev"                                       | 370 MB     | 353 MB       | 723 MB
 "public"."creator_ident"                                     | 254 MB     | 319 MB       | 573 MB
 "public"."release_rev_extid"                                 | 190 MB     | 296 MB       | 486 MB
 "public"."changelog"                                         | 167 MB     | 199 MB       | 366 MB
 "public"."container_rev"                                     | 39 MB      | 14 MB        | 53 MB
 "public"."container_edit"                                    | 13 MB      | 20 MB        | 33 MB
 "public"."container_ident"                                   | 8440 kB    | 16 MB        | 24 MB
 "pg_catalog"."pg_depend"                                     | 568 kB     | 848 kB       | 1416 kB
 "pg_catalog"."pg_statistic"                                  | 1336 kB    | 40 kB        | 1376 kB
 "pg_catalog"."pg_proc"                                       | 648 kB     | 352 kB       | 1000 kB
 "pg_catalog"."pg_attribute"                                  | 664 kB     | 288 kB       | 952 kB
 "pg_catalog"."pg_rewrite"                                    | 584 kB     | 32 kB        | 616 kB
 "pg_catalog"."pg_description"                                | 360 kB     | 184 kB       | 544 kB
 "pg_catalog"."pg_collation"                                  | 216 kB     | 80 kB        | 296 kB
 "pg_catalog"."pg_class"                                      | 160 kB     | 136 kB       | 296 kB
 "pg_catalog"."pg_constraint"                                 | 152 kB     | 128 kB       | 280 kB
 "pg_catalog"."pg_operator"                                   | 152 kB     | 88 kB        | 240 kB
 "pg_catalog"."pg_type"                                       | 144 kB     | 80 kB        | 224 kB
 "pg_catalog"."pg_amop"                                       | 88 kB      | 112 kB       | 200 kB
 "pg_catalog"."pg_trigger"                                    | 80 kB      | 64 kB        | 144 kB
 "pg_catalog"."pg_amproc"                                     | 64 kB      | 64 kB        | 128 kB
 "pg_catalog"."pg_index"                                      | 80 kB      | 32 kB        | 112 kB
 "pg_catalog"."pg_conversion"                                 | 56 kB      | 48 kB        | 104 kB
 "information_schema"."sql_features"                          | 96 kB      | 0 bytes      | 96 kB
 "public"."webcapture_rev_cdx"                                | 56 kB      | 32 kB        | 88 kB
 "pg_catalog"."pg_attrdef"                                    | 56 kB      | 32 kB        | 88 kB
 "pg_catalog"."pg_opclass"                                    | 56 kB      | 32 kB        | 88 kB
 "public"."fileset_rev_file"                                  | 48 kB      | 32 kB        | 80 kB
 "pg_catalog"."pg_cast"                                       | 48 kB      | 32 kB        | 80 kB
 "pg_catalog"."pg_ts_config_map"                              | 48 kB      | 32 kB        | 80 kB
 "pg_catalog"."pg_opfamily"                                   | 48 kB      | 32 kB        | 80 kB
 "pg_catalog"."pg_extension"                                  | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_namespace"                                  | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_language"                                   | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_am"                                         | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_database"                                   | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_tablespace"                                 | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_auth_members"                               | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_shdepend"                                   | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_ts_config"                                  | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_authid"                                     | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_ts_dict"                                    | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_ts_parser"                                  | 40 kB      | 32 kB        | 72 kB
 "pg_catalog"."pg_ts_template"                                | 40 kB      | 32 kB        | 72 kB
 "public"."auth_oidc"                                         | 16 kB      | 48 kB        | 64 kB
 "pg_catalog"."pg_init_privs"                                 | 48 kB      | 16 kB        | 64 kB
 "pg_catalog"."pg_aggregate"                                  | 48 kB      | 16 kB        | 64 kB
 "public"."editgroup_annotation"                              | 16 kB      | 48 kB        | 64 kB
 "public"."editor"                                            | 16 kB      | 48 kB        | 64 kB
 "pg_catalog"."pg_shdescription"                              | 48 kB      | 16 kB        | 64 kB
 "public"."fileset_edit"                                      | 16 kB      | 48 kB        | 64 kB
 "public"."webcapture_edit"                                   | 16 kB      | 48 kB        | 64 kB
 "pg_catalog"."pg_pltemplate"                                 | 40 kB      | 16 kB        | 56 kB
 "pg_catalog"."pg_range"                                      | 40 kB      | 16 kB        | 56 kB
 "information_schema"."sql_sizing"                            | 48 kB      | 0 bytes      | 48 kB
 "information_schema"."sql_packages"                          | 48 kB      | 0 bytes      | 48 kB
 "information_schema"."sql_languages"                         | 48 kB      | 0 bytes      | 48 kB
 "information_schema"."sql_implementation_info"               | 48 kB      | 0 bytes      | 48 kB
